my-weather-indicator,opt/extras.ubuntu.com/my-weather-indicator/share/my-weather-indicator/icons
pushbullet-indicator,opt/extras.ubuntu.com/pushbullet-indicator/share/pushbullet-indicator/icons
touchpad-indicator,opt/extras.ubuntu.com/touchpad-indicator/share/touchpad-indicator/icons
variety,opt/extras.ubuntu.com/variety/share/variety/media
grive-tools,opt/thefanclub/grive-tools/icons
viber,opt/viber/icons
telegram,home/{user_name}/.TelegramDesktop/tdata/ticons
radiotray,usr/share/radiotray/images
yd-tools,opt/yd-tools/icons
pomodoro-indicator,opt/extras.ubuntu.com/pomodoro-indicator/share/pomodoro-indicator/icons
